id,Name,TrainingName,TrainerName,feedback
901,Ruby Fairman,QA,Tonya Forrest,Very Good
88,Kris Habbergham,Typescript,Alan Ainge,Poor
948,Theresita Pipping,UI Path,Keene Worlidge,Poor
966,Wini Windibank,Web Scraping,Ardyce Leak,Moderate
496,Carry Snowman,Power BI,Reeba Meysham,Moderate
713,Carolynn Emloch,OS,Daffy Siviter,Very Good
278,Steffie Gores,Software Components,Lamar Chidler,Very Good
127,Filia MacLardie,Data Warehouse,Mariam Binnell,Poor
227,Edouard Dany,HTML&CSS,Floria Davio,Very Good
305,Zita MacGillespie,Git & Version Control,Inglis Bakeup,Poor
673,Alphonso Galea,Software Components,Cacilie O'Hoey,Moderate
735,Datha Toupe,Python,Garnet Manoelli,Poor
568,Claudius Szreter,Data Warehouse,Matti Provest,Good
477,Erhart Peerless,Git & Version Control,Deedee Figure,Moderate
694,Drusi M'Barron,QA,Richart Paaso,Excellent
183,April Bedin,Web Scraping,Louisa Chimenti,Very Good
410,Agnola Hensmans,Python,Ruperto Drivers,Excellent
163,Marsha Cooksey,React JS,Garv Sutehall,Poor
26,Gaelan Hasel,Cloud Platforms,Terry Chewter,Very Good
563,Nana Margrie,Python,Peg Pykett,Very Good
63,Lyman Cursons,ADF,Teddy Carwithen,Poor
906,Adda Rimer,Javascript,Jess Trewin,Poor
268,Dudley Corradengo,Software Components,Stacy Audritt,Excellent
602,Welby Everil,SQL,Verna Mardy,Excellent
86,Artemus Merryfield,Power BI,Jamie Acott,Moderate
548,Arlee Wistance,Python,Dian Linnett,Very Good
750,Vernice McArley,OS,Ciro Estcot,Very Good
530,Leila Swigger,Typescript,Ned Piche,Poor
887,Barret Otham,UI/UX(Figma),Martie Vasey,Good
949,Consolata Greneham,DBT,Rudy Hofner,Very Good
646,Debbi Shale,Networking,Lodovico Bentson,Excellent
239,Maria Yitzowitz,Analytics & Reporting,Tulley Blampy,Excellent
710,Glenden Cogar,SQL,Ky Stevenson,Moderate
574,Josephina Camden,Data Warehouse,Lockwood Audsley,Very Good
701,Blaine Magenny,UI/UX(Figma),Suzanna Jirus,Moderate
43,Cynde Vasilmanov,DBT,Emmet Dunaway,Moderate
693,Christan Featherston,Python,Donnajean Tumpane,Moderate
649,Neron O'Hannen,Analytics & Reporting,Eolanda Gilley,Good
111,Isidor Pascho,Networking,Delphine Meneur,Poor
352,Thoma Prothero,QA,Everett Andrzejowski,Very Good
738,Nealon Isenor,React JS,Hasty Keysel,Very Good
77,Frans Maleham,HTML&CSS,Kassandra Houdhury,Poor
471,Morrie McPhate,ADF,Berta Kelston,Poor
175,Louisette Schnieder,Web Scraping,Starr Walch,Moderate
543,Ingaborg Saich,React JS,Aimil Maunsell,Poor
737,Alanah Stenbridge,OS,Saxon Cantor,Excellent
580,Quinlan Maso,Power BI,Roz Groll,Excellent
154,Nananne Doblin,Data Warehouse,Fonz Cockshutt,Excellent
417,Myrtice Anthiftle,HTML&CSS,Claudie Beenham,Poor
855,Mab Roast,OS,Eliot Merrydew,Poor
766,Isa Allett,Analytics & Reporting,Nollie Christensen,Moderate
916,Konstanze Josling,SQL,Marguerite Veevers,Excellent
374,Shannan Knappe,Software Components,Xever Brason,Good
375,Grant McArdle,Networking,Kasper Camidge,Good
919,Pippy Tackett,Software Components,Beulah Weatherburn,Very Good
172,Kimberly Tyas,HTML&CSS,Kerk Wasbrough,Moderate
847,Cyndia Bedingfield,OS,Ezri Eate,Good
927,Edan Cranch,Typescript,Aile Scoates,Moderate
65,Gunter Russo,Typescript,Ariel Gillion,Excellent
742,Peggy Kornyakov,OS,Rebbecca Willingale,Good
802,Linette Cudde,QA,Annalee Sheere,Moderate
440,Kaile Cornall,UI Path,Jon Rickeard,Moderate
620,Odessa Haysom,UI/UX(Figma),Hurlee McGrae,Excellent
771,Diannne Petrashov,Software Components,Kirsteni Lapworth,Very Good
2,Charo Malsher,UI Path,Kane Norgate,Excellent
716,Fidela Mitchelson,Cloud Platforms,Cthrine Errichelli,Poor
721,Gwenette Lardier,Typescript,Siegfried Crotty,Very Good
848,Ashlie McArthur,React JS,Alexander Addinall,Very Good
106,Evy Seawright,Python,Anetta Litchfield,Poor
781,Eudora Wimbridge,Analytics & Reporting,Virge Menpes,Good
978,Warren Caesman,DBT,Darlene Seath,Excellent
786,Renee Solloway,Cloud Platforms,Bendick Payley,Very Good
77,Harlin Wreak,React JS,Solly Bamber,Very Good
755,Trixi Lamp,DBT,Verla Mallett,Moderate
836,Zorah Will,Git & Version Control,Gianna Trase,Moderate
778,Elisabet Songust,Git & Version Control,Cassie Sambles,Moderate
584,Dehlia Jedrzejczak,QA,Tobin Blondin,Excellent
653,Reilly Pimblotte,QA,Sileas Trevino,Very Good
648,Helenka Alishoner,UI/UX(Figma),Evvie Blacklock,Excellent
1,Nonie Freshwater,Git & Version Control,Molly Plackstone,Moderate
475,Dene Le feaver,React JS,Ingmar Ugolotti,Excellent
257,Ade Byfield,Analytics & Reporting,Felisha Garbett,Excellent
369,Farris Cudihy,Networking,Collette Lusher,Excellent
170,Debbi Gavan,OS,Brigham Coram,Poor
802,Lucais Burchett,Power BI,Rudy Akroyd,Moderate
998,Alaine Dallemore,Data Warehouse,Basilio Butterfill,Moderate
709,Vinita Spicer,SQL,Allsun Doodson,Excellent
970,Claudius Humbie,UI Path,Yalonda Saill,Good
787,Hardy Tremaine,Typescript,Mollie Kollas,Poor
45,Armando Cracie,Web Scraping,Joseito Blue,Excellent
818,Lila Caulier,UI Path,Osbourne Sweeney,Moderate
579,Bren Dombrell,Javascript,Audre MacAllester,Moderate
883,Agnella McLinden,ADF,Rosalie McKitterick,Excellent
628,Efren Yakushkin,Cloud Platforms,Mohammed Casetti,Moderate
102,Colan MacMenamin,Analytics & Reporting,Nell MacKain,Moderate
452,Peterus Heppenspall,Data Warehouse,Arlan Leifer,Very Good
469,Karyl Tole,Data Warehouse,Shara Veschi,Very Good
407,Keri Rooksby,Git & Version Control,Faulkner Murton,Excellent
103,Lindy Turbern,Python,Athena Crimin,Poor
682,Audre Perfitt,Git & Version Control,Carver Goligly,Poor
11,Ella Delhanty,Git & Version Control,Natka Purchon,Good
582,Pierette Casterot,HTML&CSS,Annabella Walkey,Excellent
192,Mira McFadden,QA,Chastity Strathman,Excellent
643,Aimee Braybrooks,QA,Matthaeus Masding,Moderate
43,Reuben Cradock,SQL,Elfie Mc Menamin,Poor
24,Theo Dickman,QA,Jacquelin Poff,Very Good
198,Nigel Luckcuck,ADF,Aguste Stubbins,Good
9,Duke Van der Beek,Networking,Jaye Stiling,Good
257,Stephi Mowne,HTML&CSS,Bev Newborn,Excellent
217,Jacklyn MacFadzean,React JS,Wrennie Feldfisher,Excellent
271,Bernadina Bramer,DBT,Forest Maykin,Excellent
680,Cinderella Catlow,OS,Lorena Perle,Very Good
470,Griffin Thundercliffe,SQL,Carlos Tremelling,Moderate
808,Sigmund Dermot,Power BI,Elisabet Lawly,Moderate
876,Ulysses Gribbell,Software Components,Laure Sainthill,Excellent
80,Rheba Garrie,Analytics & Reporting,Martina O'Cosgra,Poor
762,Genvieve Cloute,Analytics & Reporting,Arden Crosthwaite,Very Good
341,Emanuele Bavidge,Web Scraping,Carroll Passby,Moderate
264,Lindsay Beautyman,Typescript,Frances De Bernardi,Excellent
535,Blayne Housbie,Javascript,Shelia Manders,Good
135,Koo Yanyushkin,Networking,Farlee Esseby,Moderate
101,Humphrey Kovnot,DBT,Edith Stotherfield,Poor
642,Inger Jarret,React JS,Giana Tristram,Very Good
198,Richmond Stollenhof,OS,Remus Overshott,Good
636,Agneta Cudworth,Software Components,Pen Madre,Excellent
635,Darby Aslen,Git & Version Control,Lelah Landall,Excellent
346,Wilbert Klaff,Cloud Platforms,Arnaldo Yitzovicz,Good
277,Francyne Ruddock,Typescript,Avril Tokley,Poor
979,Brander Bourges,OS,Marris Kittoe,Poor
80,Bonita Ball,Networking,Gualterio Roelofs,Poor
38,Maritsa Tootell,Power BI,Ole Walduck,Poor
546,Piper Hagland,Data Warehouse,Claudius Chattelaine,Very Good
432,Lauri Della,React JS,Sharron Caherny,Poor
249,Arthur Showler,Power BI,Nikolaus Cable,Very Good
111,Sigismond Tesche,OS,Desirae Jory,Moderate
693,Pincas Wale,Javascript,Lutero Meaden,Poor
25,Herrick Medmore,Cloud Platforms,Dominique Royle,Poor
623,Philbert Niles,Networking,Hildagarde Binham,Moderate
701,Beatrisa Stuckes,Power BI,Kathy Nuschke,Poor
211,Maryl Rainey,QA,Polly Bastin,Very Good
656,Rustin Ineson,Typescript,Reid Creggan,Poor
500,Murry Give,UI/UX(Figma),Demetria Bettesworth,Excellent
833,Teri Rambadt,UI/UX(Figma),Pooh Hilldrop,Poor
165,Newton Jovicevic,Git & Version Control,Ingar Custard,Poor
412,Kali Maryott,Networking,Mareah Dimont,Moderate
432,Fleming Barth,Web Scraping,Kale Tolomio,Very Good
271,Karry Hagland,Cloud Platforms,Karyn Jereatt,Poor
949,Reina Grabham,OS,Daile Chew,Good
535,Felic Padkin,Git & Version Control,Danya Swanson,Poor
694,Regine Buxam,UI Path,Bria Gynni,Poor
386,Idelle Coronado,Cloud Platforms,Tania Moret,Moderate
21,Noah Astle,React JS,Herschel Treleaven,Moderate
671,Stevie Quest,HTML&CSS,Sofia Eastmead,Good
762,Minne Cornbill,Cloud Platforms,Peg Andell,Moderate
949,Derron Rolf,HTML&CSS,Mead Gutridge,Moderate
53,Hew Blackie,Data Warehouse,Dorice Davydychev,Poor
281,Merrile Walesa,Python,Farrell Wholesworth,Good
351,Luella Daouze,ADF,Roxi Cadden,Excellent
697,Forest Cattow,HTML&CSS,Lory Creevy,Good
523,Christian Longstaffe,Cloud Platforms,Harley Sly,Good
780,Eadmund Hegarty,Power BI,Wiatt Cheverton,Excellent
103,Colette Nuschke,Typescript,Kristofor Shrimpton,Very Good
620,Saunderson McKeating,DBT,Clemence Tuttiett,Good
511,Patience McIndrew,UI/UX(Figma),Amelina Steade,Very Good
233,Audy Slimings,Javascript,Brnaba Flowith,Moderate
963,Mariel Hub,QA,Trev Bruckent,Very Good
704,Alphard Chafney,UI/UX(Figma),Norrie Talloe,Moderate
987,Johnna Rewbottom,HTML&CSS,Urbano Bein,Poor
471,Haleigh Dowdam,ADF,Farley Pasley,Excellent
710,Alaster Rodge,Networking,Rockie Evill,Very Good
661,Finley Dowsett,Python,Storm Nevinson,Good
244,Zack Hargie,Cloud Platforms,Jori Diggins,Moderate
327,Jillayne Vallintine,Power BI,Babs Strangeway,Poor
35,Marabel Winram,SQL,Cherice Ranger,Good
574,Rosette Josipovitz,Typescript,Kenton Ainger,Poor
375,Dill Chisnall,Analytics & Reporting,Ozzy Herity,Poor
692,Irvine O'Sheerin,Analytics & Reporting,Rani Boler,Good
178,Alonzo Prestwich,SQL,Taddeusz Pettinger,Poor
739,Merla Mortimer,UI Path,Frances Fitchet,Very Good
68,Kassandra Drewet,Javascript,Iago Magenny,Poor
214,Di Beecheno,Power BI,Amil De Gregoli,Good
421,Clarie Casajuana,HTML&CSS,Diarmid Lalley,Good
161,Laurence Meaders,SQL,Vincents Grigolon,Good
233,Tami Prattington,Software Components,Drugi Ponsford,Very Good
297,Antonino Standbridge,Cloud Platforms,Minnaminnie Pethybridge,Good
198,Arleyne Littlechild,ADF,Marnie Adicot,Very Good
163,Vivi Collingridge,Networking,Danell Rohlfs,Excellent
759,Natty Lammerich,Software Components,Nicki Pomroy,Poor
833,Link Culter,Cloud Platforms,Manfred McBay,Excellent
538,Murvyn Sloy,Networking,Livvy Snookes,Moderate
667,Ardella De Anesy,Typescript,Sharleen Goodinson,Good
549,Rickert Lenney,Javascript,Mimi Swatheridge,Good
753,Ernaline Gomez,Data Warehouse,Harv Heare,Excellent
433,Putnem Lenham,Cloud Platforms,Tad Pittet,Poor
426,Beauregard Rown,UI/UX(Figma),Roselia Gairdner,Excellent
801,Kristel Dorsey,OS,Lynnea Breitling,Moderate
304,Marleah Feighry,UI/UX(Figma),Walden Bulfit,Very Good
811,Mirna Bullin,Analytics & Reporting,Neel Klewer,Good
949,Mira Mc Grath,React JS,Jaclyn Jantzen,Excellent
714,Ula Poynzer,HTML&CSS,Bone MacDirmid,Moderate
401,Rurik Goodbourn,Analytics & Reporting,Van Kitchingman,Poor
401,Adiana Verbeek,Networking,Stillman Morpeth,Very Good
850,Cleopatra Domonkos,Cloud Platforms,Aldon Hedderly,Poor
309,Astra Rosel,QA,Maurita McCloch,Moderate
550,Kaiser Cuttin,UI/UX(Figma),Kristofor Queste,Moderate
642,Westley Bore,Data Warehouse,Blane Measham,Excellent
150,Miof mela MacBean,QA,Dorri Anwell,Good
761,Robinia Rembrant,Javascript,Ernesto Wivell,Good
874,Jamie Jaquest,Python,Vonnie Beaty,Excellent
608,Dorette Forbes,QA,Abner Eliff,Very Good
586,Hally Harvey,UI Path,Rosie Gooble,Very Good
719,Vasilis Aries,Power BI,Moyna Tourot,Moderate
259,Austin Turone,Javascript,Efrem Linnett,Excellent
293,Dilan Golby,Analytics & Reporting,Ginevra Jinda,Moderate
196,Sallyanne Crufts,HTML&CSS,Glendon Georgins,Excellent
425,Alford Welland,Networking,Rockey Cluckie,Excellent
574,Constance Varfolomeev,Data Warehouse,Doralynn Herrema,Very Good
878,Flem Shillom,UI Path,Coriss Cheney,Moderate
980,Jilleen Hadingham,DBT,Kissiah Hannabuss,Excellent
282,Meara Gissing,Power BI,Booth Motherwell,Good
295,Forster Van den Velden,OS,Michel Rewbottom,Excellent
379,Jeffrey Point,Python,Laney Baigrie,Good
52,Pegeen Garnsworthy,Analytics & Reporting,Yolanthe Gascard,Very Good
735,Tommi Grunguer,Javascript,Dynah Pingstone,Poor
377,Joline Troop,SQL,Gonzalo Barenski,Excellent
990,Sammie Riby,OS,Juana Norcross,Moderate
427,Haroun Marlowe,Web Scraping,Felix Mulvey,Moderate
930,Klement Rendle,Data Warehouse,Angeline Undrill,Moderate
753,Dinah Auger,UI Path,Anastasie Rockingham,Moderate
811,Amanda Moorton,Python,Camella Stonhouse,Poor
9,Antons Gladding,Git & Version Control,Cristal Grubb,Poor
610,Maggee Bunker,Python,Toddie Ludman,Very Good
300,Ibbie Brasner,Web Scraping,Roseanna Scurman,Poor
238,Jarrod Gumary,Data Warehouse,Donnell Gaines,Very Good
782,Christina Magee,UI Path,Grenville Gruczka,Very Good
555,Camellia Bryson,Javascript,Gabie Seaborne,Moderate
436,Lissy Linebarger,ADF,Rosemaria Bachura,Very Good
249,Aron Francisco,QA,Aubert Douris,Good
455,Rica MacDermot,Javascript,Lise Conachy,Good
38,Hamlen Seckington,HTML&CSS,Halley Whitty,Very Good
593,Maybelle Sibly,DBT,Boothe Chrisp,Excellent
15,Aggi Lightwood,Python,Thain Wyllcock,Very Good
773,Kaylee Snowman,HTML&CSS,Ferdinande Boreland,Good
103,James Riepl,QA,Fremont Rothschild,Moderate
802,Auberta Gourley,Cloud Platforms,Emmalyn Dosdell,Good
904,Kat Charrett,OS,Junette Luffman,Very Good
939,Annmaria Kinleyside,ADF,Nicky Snelman,Excellent
959,Karlen Whatling,React JS,Alex Murrum,Very Good
389,Matti McNabb,OS,Gipsy Eixenberger,Good
914,Ruperta Grishin,Data Warehouse,Leah Logsdail,Poor
491,Robinetta Whyborn,Software Components,Clemmie Ginie,Excellent
46,Melesa Shave,Cloud Platforms,Britney Parlot,Very Good
726,Marcelline Hambatch,Software Components,Christi Revett,Very Good
450,Jenda Wiles,Typescript,Verge Wratten,Very Good
358,Merline Denley,SQL,Jenny Sheards,Very Good
318,Alix Colaco,Power BI,Nappy Demkowicz,Poor
619,Kathy Mirfin,OS,Eddie Sherrocks,Good
3,Vanya Orrey,ADF,Dosi Berrick,Poor
201,Katalin Titcom,HTML&CSS,Channa Coom,Excellent
4,Una Jambrozek,Typescript,Ulick Newbery,Excellent
684,Susana Dellenbach,QA,Noni Bassham,Very Good
733,Morten Wernher,OS,Georgiana Geistmann,Good
693,Abbott Twinning,DBT,Mollee Jedraszczyk,Moderate
441,Evangeline Pahlsson,Power BI,Wash Sandyfirth,Poor
291,Krista Gerasch,Power BI,Harriett Sinkins,Poor
481,Zenia Toulson,Analytics & Reporting,Gordy Blencoe,Good
824,Shawn Dummett,Git & Version Control,Alika Jerosch,Poor
621,Romain Duffett,OS,Pearle MacLese,Very Good
768,Jan Jizhaki,Javascript,Tamiko Frammingham,Good
90,Morna Gewer,Power BI,Dulciana Alps,Good
557,Waldo Lightowlers,UI Path,Rodie Brosius,Excellent
706,Theodore Garbott,QA,Brody Brendel,Excellent
703,Tara Sergison,DBT,Bonni Thalmann,Very Good
318,Linet Dorning,Networking,Coriss Klaiser,Excellent
503,Mickey Chamberlin,Typescript,Rockie Megarry,Good
703,Alida Basini-Gazzi,Git & Version Control,Tori Enticott,Good
728,Charleen Horlock,OS,Madella Watkinson,Excellent
195,Gavra Keys,Cloud Platforms,Gavra Creighton,Very Good
993,Nobe Waylett,ADF,Prentiss Marking,Moderate
17,Opal Filppetti,React JS,Alexa Gimber,Very Good
926,Dani Whitelaw,UI Path,Shanan Thackwray,Excellent
929,Ulysses Jurgen,React JS,Emili Djuricic,Moderate
574,Kendall Stefi,DBT,Gil Randalston,Good
43,Korney Mandre,QA,Griffy Pyffe,Good
129,Bryn Minney,Python,Neysa Piesold,Excellent
367,Gal Daviddi,Networking,Tomasina Godthaab,Excellent
714,Ezmeralda Sarchwell,HTML&CSS,Sherry Ostrich,Good
749,Sibeal Dunn,HTML&CSS,Nadeen Foresight,Poor
337,Glendon Sygroves,Software Components,Danell Mardall,Good
825,Aleen Tilt,QA,Amaleta Izakovitz,Poor
701,Randi Swaffer,Power BI,Darsie Gready,Very Good
922,Erl Semens,Analytics & Reporting,Moishe Bending,Moderate
633,Evelin Espasa,Python,Maureen Shenfish,Moderate
476,Rena Thickin,Python,Trever Tonnesen,Excellent
538,Gustavo O'Kenny,UI Path,Raul Igoe,Excellent
289,Elsbeth Marchetti,Python,Truman Kleisle,Good
421,Charita Vokins,Power BI,Herschel Clears,Poor
811,Florian Hawson,HTML&CSS,Shane Bowcock,Moderate
536,Ilse Mardoll,Javascript,Bert Garner,Good
720,Roddy Sinney,Data Warehouse,Kylen McAirt,Excellent
500,Clara Risdale,ADF,Emmanuel Girodon,Very Good
407,Lexis Marqyes,Cloud Platforms,Marchall Nott,Good
852,Sue Sambrok,UI Path,Jamima Matherson,Poor
901,Phil Muckle,DBT,Calhoun Neising,Moderate
173,Pete Cauderlie,Javascript,Salomo Pheby,Good
524,Odell Staunton,UI Path,Flory Cuvley,Poor
876,Hyacinthe Corpe,Cloud Platforms,Dru Barlas,Excellent
446,Robinet Thormann,HTML&CSS,Silvan Roby,Poor
678,Gregorius Ellington,Networking,Aurea Hawkin,Good
934,Annabell Sinncock,Javascript,Anallese Keward,Poor
428,Ramsey Stebles,QA,Malory Proudler,Moderate
549,Sissie Santoro,UI/UX(Figma),Clementina Valentine,Moderate
562,Eustace Buick,Networking,Kassandra Gimlet,Moderate
684,Simeon Cassley,Python,Ashlie Neate,Moderate
331,Weston Lintill,Power BI,Conant Prene,Good
628,Elnora Brugh,Cloud Platforms,Luke De Meyer,Very Good
895,Rutledge Christiensen,Networking,Jackson Arsnell,Excellent
825,Lizette Hegel,Python,Cliff Everix,Very Good
390,Inez Branchett,ADF,Flori Ever,Very Good
133,Bianka Cockrem,QA,Des Dispencer,Moderate
262,Cristabel Robertelli,UI Path,Flossie Degli Antoni,Excellent
603,Jozef Tompsett,Data Warehouse,Charis Dumberell,Excellent
213,Brittany Hair,Software Components,Corinna Rubel,Very Good
271,Hobard Yakebowitch,DBT,Noell Faircloth,Excellent
332,Noelyn Prantoni,UI Path,Marlo Currm,Excellent
795,Dexter Salle,Software Components,Fifine Woodvine,Good
33,Abdul Jervois,Web Scraping,Janel Diggin,Poor
614,Abra Recher,Software Components,Carole Portriss,Good
937,Shanta Roffe,Javascript,Pennie Cartmel,Excellent
665,Lonni Bexon,UI/UX(Figma),Daryl Kivelhan,Good
976,Rita Cumming,Analytics & Reporting,Della Oen,Poor
383,Jamaal Hearsum,UI Path,Brigida Flood,Poor
502,Jemie Pittson,Power BI,Idette Boyton,Poor
69,Adelina Bradnam,ADF,Kessiah Cady,Moderate
953,Min Antyukhin,DBT,Kerrill Biddle,Moderate
93,Zea Cosgriff,Networking,Ilka Baskeyfied,Moderate
49,Claire Vlach,ADF,Shandeigh Grushin,Very Good
738,Richmound McKevin,ADF,Nikoletta Helder,Very Good
915,Creigh Sukbhans,Cloud Platforms,Gates Brocking,Excellent
87,Elihu Treharne,SQL,Joly Gatling,Moderate
830,Granny Casine,Web Scraping,Saidee Belsher,Very Good
245,Vail Monelle,OS,Rasia Pereira,Excellent
946,Rex Hopfer,ADF,Zita Karpenko,Moderate
937,Marj Bygrave,Web Scraping,Deb Cheese,Good
295,Edita Sidworth,Web Scraping,Ashton Coale,Poor
525,Evelyn Krzysztofiak,ADF,Arvy Aldcorn,Very Good
596,Daune Joncic,QA,Ruthann Stallwood,Moderate
612,Gwenneth Lorincz,ADF,Olwen Bassick,Very Good
288,Hayley Cleave,Software Components,Flynn Tracey,Very Good
812,Meg MacGillivray,React JS,Annnora Antosik,Very Good
623,Arnie Hogben,Analytics & Reporting,Carter Florio,Very Good
975,Halimeda Fedynski,Cloud Platforms,Morgana Cluse,Very Good
824,Leontine Blatchford,Python,Gratiana Grayne,Good
920,Agathe McIlwaine,Software Components,Nolan Wigzell,Excellent
379,Anton Rays,QA,Haydon Eltringham,Poor
724,Kanya Eastes,OS,Amandi Bogace,Poor
678,Rand Gittus,Typescript,Sherwood Wycherley,Very Good
900,Bartholomeo Haithwaite,UI Path,Lexine Cunio,Moderate
318,Mamie Carrington,ADF,Charlene Tebbitt,Poor
42,Melvin Androsik,Python,Lindsey Beveredge,Very Good
552,Janith Durdy,Software Components,Daniele Ogles,Excellent
327,Estevan Arnaez,UI/UX(Figma),Leola Abraham,Very Good
636,Tani Bodycote,OS,Spike Peach,Excellent
428,Sonni Eaddy,Git & Version Control,Wynnie Venard,Moderate
230,Clerc Lung,UI Path,Reinald Skypp,Moderate
624,Tommi Shivlin,Web Scraping,Latrina Gurdon,Good
76,Greg Mucklestone,ADF,Hodge Viccars,Moderate
584,Dugald Di Giacomettino,OS,Don Minci,Excellent
196,Juieta Waszczyk,Data Warehouse,Reinold Abethell,Poor
58,Tod Logue,ADF,Jeth Huertas,Poor
268,Rhea Hess,Data Warehouse,Roley Agglione,Poor
757,Ginny Lakeman,Cloud Platforms,Harmonie Telega,Poor
185,Bella Vaskin,Web Scraping,Gill Mace,Poor
468,Dory Border,Web Scraping,Mayer Routley,Excellent
691,Pete Minerdo,React JS,Herc MacGillivrie,Excellent
787,Kristi Gretton,Git & Version Control,Ulrick Laurentino,Very Good
372,Sammie L' Estrange,Typescript,Caitlin Damant,Excellent
337,Hestia Brickham,Python,Roderich McGready,Good
128,Crystie Finnick,Data Warehouse,Ferdinande Ibbitson,Very Good
339,Rochell Molesworth,ADF,Alexine Brimblecombe,Poor
215,Karin Mobberley,OS,Claretta Le Quesne,Moderate
630,Devan Braidley,DBT,Maire Zienkiewicz,Very Good
815,Atalanta Dungay,UI/UX(Figma),Tudor Giovanetti,Poor
538,Carrissa Morffew,Cloud Platforms,Lissy Cockin,Moderate
608,Joseito Vagges,Networking,Godwin Janowicz,Excellent
581,Bennie Kelso,Cloud Platforms,Ned Gaudin,Poor
342,Stevie Spiby,UI Path,Halsy Brastead,Good
249,Ambrosius Peter,Software Components,Scotty Broadway,Moderate
875,Sax Blues,ADF,Deb Ledster,Poor
894,Kassie Jelliman,QA,Marina Sayers,Very Good
