id,TrainingName,TrainingDate,TrainingStartTime,TrainingEndTime,TrainerName,ScheduledBy,ScheduledTo,t_id,ModuleCompletion
479,React JS,27-01-2024,9:16 AM,5:47 PM,Evy Jeakins,Bax,Intern,2,180
261,Networking,08-09-2023,10:14 AM,5:50 PM,Hatty Johnikin,Wade,Intern,3,117
501,Cloud Platforms,16-10-2022,10:40 AM,5:02 PM,Elwin Rought,Ewen,Employee,1,13
59,QA,27-02-2024,10:37 AM,5:15 PM,Kristina Grugerr,Natalina,Employee,13,536
437,Git & Version Control,08-08-2023,10:51 AM,5:19 PM,Aluino Graddell,Mathe,Intern,8,128
168,React JS,27-04-2023,9:25 AM,5:47 PM,Alexandre Willowby,Gilligan,Intern,12,69
84,React JS,11-11-2023,10:27 AM,5:05 PM,Sofia Durston,Leonardo,Employee,7,716
260,Analytics & Reporting,01-04-2023,10:00 AM,5:43 PM,Yalonda Youens,Kaela,Intern,6,216
39,Analytics & Reporting,27-06-2022,9:07 AM,5:38 PM,Bel Mapstone,Pierre,Intern,11,461
505,Javascript,28-01-2024,9:46 AM,5:57 PM,Teriann Broske,Gustav,Intern,5,790
197,Power BI,25-01-2023,9:38 AM,5:53 PM,Jeffrey McCane,Vonni,Employee,17,533
605,React JS,28-06-2023,10:09 AM,5:40 PM,Isac Quigg,Stephana,Employee,4,663
996,UI Path,12-12-2023,9:12 AM,5:42 PM,Derrik Thrasher,Ronni,Intern,3,292
168,DBT,08-01-2023,9:42 AM,5:06 PM,Belvia Raw,Edi,Intern,6,785
559,Software Components,19-06-2022,9:33 AM,5:27 PM,Etan Elldred,Devora,Intern,7,685
32,DBT,07-03-2023,9:14 AM,5:35 PM,Tove Bompass,Georgy,Intern,7,471
181,Javascript,18-05-2023,10:56 AM,5:06 PM,Creight Lardner,Jaime,Employee,6,235
652,Analytics & Reporting,06-09-2022,9:25 AM,5:14 PM,Alford Pothergill,Elayne,Intern,8,542
424,Web Scraping,29-12-2022,9:57 AM,5:54 PM,Lonnard Locard,Karel,Intern,4,525
462,DBT,09-09-2022,9:06 AM,5:51 PM,Flori Kellock,Zach,Intern,6,281
988,QA,17-09-2023,10:57 AM,5:49 PM,Donny Albasini,Moyna,Intern,7,687
224,Software Components,15-01-2023,10:51 AM,5:21 PM,Trumaine Willcot,Libbey,Intern,15,606
285,UI/UX(Figma),12-10-2023,9:41 AM,5:32 PM,Henryetta Dodson,Wade,Intern,17,387
702,ADF,09-10-2022,9:51 AM,5:30 PM,Bonita Dickons,Gretal,Employee,10,257
72,Python,16-02-2023,10:48 AM,5:38 PM,Aili Filipov,Stephana,Intern,6,701
969,Web Scraping,30-08-2022,10:04 AM,5:45 PM,Donny Ghirigori,Gilligan,Intern,2,246
364,Typescript,31-03-2023,10:51 AM,5:32 PM,Romeo Lemery,Leonardo,Employee,14,508
627,Git & Version Control,15-05-2023,9:27 AM,5:03 PM,Myca Keddey,Traci,Intern,6,680
626,Networking,06-01-2023,9:45 AM,5:30 PM,Wilfred Gasquoine,Ebba,Intern,14,782
902,HTML&CSS,17-06-2022,9:20 AM,5:42 PM,Orton Kleinstein,Jourdan,Intern,4,676
299,Python,22-07-2023,9:01 AM,5:21 PM,Marilee O'Fogarty,Sonny,Intern,1,248
777,ADF,31-10-2023,10:58 AM,5:18 PM,Douglas Godfroy,Alexa,Intern,12,297
969,UI/UX(Figma),03-02-2023,9:35 AM,5:08 PM,Randy Loyndon,Ki,Intern,10,342
645,Python,06-05-2022,9:00 AM,5:20 PM,Jabez Legges,Stephana,Intern,6,304
605,ADF,08-07-2023,10:06 AM,5:07 PM,Dionisio Kilgrove,Gretal,Intern,4,166
232,Power BI,22-06-2022,10:06 AM,5:01 PM,Danyette Aynold,Zach,Employee,9,747
447,Cloud Platforms,24-04-2022,9:40 AM,5:00 PM,Charin Muge,Riley,Intern,14,220
921,Python,07-04-2023,9:11 AM,5:36 PM,Elihu De Castri,Ricky,Intern,8,293
743,HTML&CSS,22-02-2023,9:17 AM,5:34 PM,Lindsey Harkins,Anastassia,Intern,13,669
48,Software Components,15-11-2022,10:07 AM,5:43 PM,Roxy Fitzroy,Stanly,Employee,2,245
933,DBT,12-05-2023,10:07 AM,5:04 PM,Kacy Linch,Carma,Intern,3,817
559,Typescript,21-09-2022,9:36 AM,5:47 PM,Michael Hakonsen,Leonardo,Intern,12,148
479,Git & Version Control,24-06-2022,10:26 AM,5:13 PM,Margie Waplington,Cindie,Intern,12,498
221,Software Components,13-06-2022,9:01 AM,5:34 PM,Beau Cobbold,Traci,Intern,14,540
902,Web Scraping,23-08-2022,9:30 AM,5:54 PM,Lanie Drewet,Kermie,Intern,4,52
908,Git & Version Control,15-11-2022,10:33 AM,5:17 PM,Marchall Challenger,Mathe,Intern,16,4
996,Python,25-08-2022,9:35 AM,5:34 PM,Remington Spatari,Sallyanne,Intern,17,836
272,DBT,14-02-2023,9:46 AM,5:04 PM,Peria Maybery,Vevay,Intern,11,748
424,ADF,21-11-2022,10:56 AM,5:59 PM,Kaitlyn Huddleston,Wade,Intern,12,783
39,QA,22-08-2023,9:58 AM,5:52 PM,Erasmus MacSkeagan,Riley,Intern,2,807
611,Networking,31-01-2023,10:17 AM,5:53 PM,Nataline Balloch,Elayne,Intern,12,113
645,QA,30-09-2022,10:53 AM,5:23 PM,Angelique Scruby,Ki,Intern,2,152
509,React JS,06-07-2023,9:16 AM,5:02 PM,Reade Cool,Lorie,Intern,13,18
406,Web Scraping,26-07-2022,9:13 AM,5:52 PM,Filberto Culkin,Zared,Intern,12,364
380,Power BI,06-01-2024,10:04 AM,5:35 PM,Orsa Gildea,Filberto,Employee,15,71
461,Git & Version Control,20-09-2022,9:03 AM,5:55 PM,Gwenora Persence,Mildrid,Intern,4,846
652,Git & Version Control,31-12-2022,9:38 AM,5:21 PM,Julee Buddell,Des,Intern,7,578
775,Python,04-09-2023,9:34 AM,5:20 PM,Mercie Harpin,Fletcher,Intern,6,506
962,ADF,06-12-2022,9:46 AM,5:21 PM,Nisse Medhurst,Cortie,Intern,9,494
497,DBT,17-09-2022,9:54 AM,5:30 PM,Fan Smolan,Marnia,Intern,17,90
613,OS,11-06-2023,10:27 AM,5:52 PM,Antonietta Coopland,Elisabetta,Employee,2,811
777,UI Path,30-07-2022,10:36 AM,5:06 PM,Jacinta Donhardt,Cassey,Intern,13,349
182,UI Path,13-12-2022,9:47 AM,5:36 PM,Lesli Fido,Kaela,Intern,8,761
54,Analytics & Reporting,26-09-2023,10:07 AM,5:27 PM,Ebonee Sibthorp,Hunfredo,Intern,16,146
116,UI/UX(Figma),26-10-2022,9:17 AM,5:27 PM,Randie Farrear,Ricky,Intern,12,226
19,OS,03-10-2023,10:13 AM,5:28 PM,Anders Mewton,Sonny,Employee,9,188
406,Cloud Platforms,17-02-2023,10:25 AM,5:40 PM,Julius Dullard,Jania,Intern,4,826
997,Git & Version Control,01-02-2023,9:27 AM,5:00 PM,Aurlie Colloff,Nicolette,Intern,12,573
81,QA,30-12-2022,9:49 AM,5:05 PM,Allyn Lanahan,Kermie,Intern,15,370
506,Power BI,24-12-2022,9:47 AM,5:13 PM,Dunn MacNish,Shawnee,Intern,13,361
868,HTML&CSS,01-04-2023,10:34 AM,5:12 PM,Libbi Ranscombe,Nicky,Intern,16,783
84,SQL,29-07-2023,9:46 AM,5:08 PM,Willamina Rigard,Stephana,Intern,16,266
380,Software Components,07-01-2024,9:49 AM,5:03 PM,Arielle Brennand,Natalina,Intern,1,784
260,UI Path,23-12-2023,10:38 AM,5:05 PM,Brigid Pettingall,Douglas,Intern,3,89
474,Software Components,06-09-2022,9:29 AM,5:40 PM,Erl Gwinnett,Bartholomeus,Intern,12,529
182,Analytics & Reporting,02-04-2023,10:28 AM,5:27 PM,Jamie Eykel,Junie,Employee,14,230
995,Software Components,14-08-2023,10:44 AM,5:53 PM,Ervin Liebmann,Courtenay,Intern,8,94
197,Networking,21-09-2022,9:45 AM,5:03 PM,Fionna Gray,Bertrando,Intern,17,287
645,React JS,31-12-2022,9:08 AM,5:11 PM,Ariana Davsley,Corrina,Employee,4,731
650,Git & Version Control,22-02-2024,10:54 AM,5:45 PM,Brianne Davoren,Evelin,Employee,9,688
55,Power BI,05-11-2023,9:26 AM,5:24 PM,Lida Bools,Gardy,Intern,13,287
611,DBT,29-12-2023,10:55 AM,5:06 PM,Anson Belshaw,Mildrid,Intern,9,596
162,Cloud Platforms,11-02-2024,10:45 AM,5:28 PM,Oswell Allsebrook,Kurt,Intern,6,647
559,React JS,09-01-2024,9:51 AM,5:37 PM,Julianna Cessford,Colene,Intern,15,184
964,Python,26-04-2022,10:01 AM,5:51 PM,Vin Eck,Janet,Intern,11,126
509,Python,07-07-2022,10:51 AM,5:57 PM,Salomone Pownall,Cassey,Intern,7,223
197,DBT,10-07-2023,9:59 AM,5:37 PM,Kikelia Sealeaf,Devora,Employee,3,505
962,Software Components,02-11-2022,10:43 AM,5:21 PM,Bartholemy Haylock,Ilaire,Intern,11,373
317,HTML&CSS,07-10-2022,10:51 AM,5:07 PM,Glynnis Rocca,Anastassia,Employee,6,687
968,SQL,14-08-2022,9:10 AM,5:16 PM,Yoshi Peyntue,Thorin,Intern,8,77
193,Cloud Platforms,18-10-2022,10:49 AM,5:17 PM,Leia Allam,Coraline,Intern,9,617
284,QA,14-08-2022,10:58 AM,5:34 PM,Mikol Gatheral,Nicolette,Intern,8,387
997,React JS,29-01-2024,10:40 AM,5:07 PM,Lilyan Rumney,Hernando,Intern,1,642
788,QA,27-07-2023,10:59 AM,5:25 PM,Allan Vaud,Audrye,Intern,10,304
925,Typescript,28-03-2024,10:12 AM,5:55 PM,Rhona Cartin,Pierre,Intern,16,720
777,Power BI,25-01-2024,10:32 AM,5:00 PM,Trixi Alexandrou,Bartholomeus,Employee,10,748
155,Python,07-11-2022,10:00 AM,5:52 PM,Salomo Calvard,Eugenia,Intern,13,656
447,UI Path,12-04-2022,10:41 AM,5:58 PM,Gerek Winslade,Paige,Employee,14,424
626,ADF,12-04-2023,10:23 AM,5:43 PM,Lenka Blesli,Guillaume,Intern,6,593
380,UI Path,07-12-2022,9:55 AM,5:35 PM,Bo Gynne,Des,Intern,17,604
19,HTML&CSS,16-02-2023,10:30 AM,5:08 PM,Hinda Wasylkiewicz,Staford,Intern,15,819
462,React JS,08-07-2022,9:13 AM,5:12 PM,Collin Shaw,Edi,Employee,13,44
50,Python,06-09-2023,9:11 AM,5:53 PM,Charmion Monkley,Andeee,Intern,17,433
155,UI/UX(Figma),13-01-2024,9:07 AM,5:50 PM,Cherilyn Extill,Berky,Intern,10,110
662,QA,03-10-2022,9:20 AM,5:37 PM,Amara Minter,Cassey,Intern,8,371
493,QA,15-05-2022,9:48 AM,5:08 PM,Blair Howells,Marylou,Intern,12,482
19,SQL,31-03-2024,10:36 AM,5:58 PM,Fanni Ivanchov,Audrye,Intern,5,40
827,OS,26-05-2022,9:04 AM,5:39 PM,Olly Scandroot,Loren,Intern,9,836
743,Analytics & Reporting,20-01-2023,9:34 AM,5:20 PM,Krishna Raimbauld,Germain,Employee,3,591
405,UI Path,14-01-2024,9:12 AM,5:49 PM,Lizzy Menaul,Ronni,Intern,5,280
232,Cloud Platforms,20-08-2023,10:12 AM,5:13 PM,Chelsie Di Baudi,Devora,Intern,2,278
788,UI/UX(Figma),21-12-2022,9:27 AM,5:03 PM,Fabian Castagna,Gardy,Intern,5,838
908,QA,02-04-2023,9:15 AM,5:45 PM,Ugo Husthwaite,Ferdinanda,Intern,9,3
284,HTML&CSS,28-05-2022,9:48 AM,5:26 PM,Hyacintha Weedon,Hernando,Intern,6,510
650,Analytics & Reporting,15-07-2022,9:10 AM,5:19 PM,Fletcher Brusby,Ebba,Intern,10,769
821,OS,27-02-2024,9:33 AM,5:58 PM,Clywd Ingerson,Junie,Intern,17,121
59,React JS,05-05-2023,10:20 AM,5:16 PM,Emmaline Eyer,Ola,Intern,4,271
443,ADF,30-12-2023,9:28 AM,5:19 PM,Dawna Bernardini,Courtenay,Intern,16,630
996,Power BI,13-01-2023,9:12 AM,5:44 PM,Violet Dockrey,Carmelina,Employee,13,566
396,Javascript,02-05-2023,10:56 AM,5:22 PM,Berk Gudyer,Ebba,Employee,17,350
232,ADF,22-03-2024,9:33 AM,5:08 PM,Rourke Sherville,Ki,Intern,4,463
707,Git & Version Control,17-11-2022,10:54 AM,5:56 PM,Demetrius Mathiassen,Haskell,Intern,7,26
200,Javascript,17-04-2023,10:14 AM,5:01 PM,Leigha Kalinowsky,Chere,Intern,6,541
650,UI Path,06-12-2023,9:04 AM,5:08 PM,Liuka Stobart,Manfred,Employee,8,347
509,Power BI,20-01-2023,10:44 AM,5:01 PM,Colet Blazi,Georgy,Intern,3,643
48,DBT,15-12-2022,9:38 AM,5:26 PM,Lucky Maydway,Fidela,Intern,8,520
515,Typescript,10-09-2022,10:43 AM,5:25 PM,Bonnibelle Barnard,Grady,Employee,16,333
75,Git & Version Control,03-03-2024,10:06 AM,5:13 PM,Meyer Wyche,Kirstin,Intern,17,49
995,UI/UX(Figma),25-07-2023,9:39 AM,5:31 PM,Barby Dwire,Audrye,Intern,4,47
627,React JS,02-12-2022,10:56 AM,5:14 PM,Jerry Trasler,Mathe,Intern,15,596
925,Power BI,10-10-2022,9:37 AM,5:07 PM,Samson Haldin,Jania,Intern,13,859
607,SQL,03-07-2023,10:02 AM,5:09 PM,Katharine Warboy,Thorin,Intern,6,825
408,Software Components,08-06-2023,9:44 AM,5:49 PM,Luke Dewbury,Radcliffe,Employee,7,664
224,UI/UX(Figma),07-12-2023,10:50 AM,5:42 PM,Modestia Maysor,Karel,Employee,5,294
333,React JS,19-10-2022,9:17 AM,5:31 PM,Bentlee Eslemont,Bax,Intern,1,750
868,OS,17-01-2024,10:08 AM,5:37 PM,Earlie Steventon,Andeee,Intern,13,681
674,Javascript,20-03-2023,10:52 AM,5:12 PM,Fielding Savil,Traci,Intern,7,374
463,ADF,21-12-2022,9:03 AM,5:31 PM,Marlin Gaskoin,Haskell,Intern,8,597
81,Python,16-11-2022,10:05 AM,5:43 PM,Kylen Scotting,Moyna,Employee,13,485
423,Typescript,15-03-2024,10:14 AM,5:56 PM,Ryon Gasgarth,Flinn,Intern,16,737
969,Data Warehouse,02-08-2022,10:45 AM,5:22 PM,Sherill Sussems,Sallyanne,Employee,4,352
359,QA,24-02-2023,10:33 AM,5:46 PM,Mercy Lagen,Riley,Intern,11,613
868,Git & Version Control,05-04-2023,10:16 AM,5:32 PM,Randi Sumsion,Andeee,Intern,12,66
497,Typescript,26-08-2022,9:28 AM,5:09 PM,Hyman O'Farrell,Vonni,Employee,16,570
200,Typescript,31-01-2023,9:18 AM,5:08 PM,Sofia Bawden,Fidela,Intern,3,703
261,Javascript,11-01-2024,10:20 AM,5:23 PM,Alfie Kopec,Coraline,Intern,1,429
84,OS,02-12-2022,9:17 AM,5:48 PM,Sorcha O'Doohaine,Belle,Intern,8,218
79,Networking,25-08-2022,9:16 AM,5:21 PM,Clay Collyns,Zach,Intern,12,324
83,Cloud Platforms,26-10-2022,9:14 AM,5:42 PM,Margarette Coatsworth,Ferdinanda,Intern,2,652
449,HTML&CSS,28-04-2022,10:11 AM,5:41 PM,Skipton Hitcham,Moss,Intern,7,308
232,HTML&CSS,07-10-2022,9:12 AM,5:37 PM,Bertram Agiolfinger,Winona,Employee,2,716
324,ADF,05-06-2022,10:41 AM,5:08 PM,Irena Churches,Devora,Intern,1,192
50,Javascript,06-11-2022,9:28 AM,5:21 PM,Genvieve Ocheltree,Ebba,Intern,12,50
200,SQL,12-11-2022,9:24 AM,5:53 PM,Paco Kirwin,Jackqueline,Intern,3,820
364,HTML&CSS,08-12-2023,9:56 AM,5:29 PM,Debbi Lightbowne,Flinn,Intern,3,752
32,UI Path,08-05-2022,10:42 AM,5:01 PM,Otho Jobin,Guillaume,Intern,7,603
497,Web Scraping,07-02-2024,9:01 AM,5:42 PM,Christoph Rowlstone,Staford,Intern,6,120
462,UI Path,18-12-2022,9:47 AM,5:42 PM,Zandra Churchouse,Rina,Intern,11,473
182,Python,20-10-2023,10:11 AM,5:09 PM,Rafael Herche,Emalee,Intern,6,354
423,UI/UX(Figma),10-11-2023,10:45 AM,5:36 PM,Liv Villaron,Euell,Intern,15,120
193,Git & Version Control,21-02-2023,10:25 AM,5:39 PM,Maximilianus Stellino,Burk,Intern,16,481
54,Data Warehouse,28-04-2022,10:11 AM,5:02 PM,Nestor Dybald,Berky,Intern,7,597
942,QA,10-10-2022,10:08 AM,5:10 PM,Chanda Beetlestone,Evelin,Intern,12,422
497,Git & Version Control,06-08-2023,10:22 AM,5:17 PM,Lauree Brou,Natalina,Employee,9,470
380,Cloud Platforms,31-07-2023,9:09 AM,5:52 PM,Leonelle Kinghorn,Winona,Intern,1,719
788,Git & Version Control,26-07-2022,9:23 AM,5:12 PM,Esther Geeves,Shane,Intern,6,582
158,DBT,06-10-2022,10:39 AM,5:19 PM,Joseito Rowter,Carmelina,Intern,6,479
890,Power BI,13-04-2022,9:43 AM,5:43 PM,Christi Scain,Ki,Intern,17,624
414,HTML&CSS,08-02-2023,9:31 AM,5:34 PM,Jesus Pershouse,Vonni,Intern,13,164
988,OS,27-01-2023,9:23 AM,5:19 PM,Bald Stife,Anastassia,Intern,3,259
81,Javascript,26-05-2023,10:52 AM,5:03 PM,Emilio Shepherdson,Courtenay,Intern,13,540
311,ADF,11-07-2023,10:40 AM,5:09 PM,Ursulina Barr,Maryl,Intern,11,338
182,Javascript,26-04-2023,9:40 AM,5:57 PM,Hal Hanna,Germain,Employee,7,68
84,Typescript,01-09-2022,9:05 AM,5:20 PM,Del Eustace,Nils,Intern,3,668
70,Web Scraping,26-09-2023,10:42 AM,5:25 PM,Roxy Espinay,Stephana,Intern,4,818
868,Cloud Platforms,22-02-2024,9:43 AM,5:11 PM,Becka Maccrie,Ricky,Intern,5,525
707,Software Components,17-04-2023,9:59 AM,5:56 PM,Harriot Whooley,Alexa,Intern,7,125
72,DBT,06-03-2023,10:24 AM,5:27 PM,Romain Saunder,Chere,Intern,17,79
197,OS,12-11-2022,9:38 AM,5:40 PM,Bernadene MacGill,Burk,Intern,12,763
130,Software Components,06-12-2022,9:29 AM,5:49 PM,Lisetta Caldroni,Carma,Intern,13,331
988,Analytics & Reporting,07-05-2022,9:55 AM,5:02 PM,Ansel Branca,Cindie,Intern,10,745
505,UI/UX(Figma),01-01-2024,10:35 AM,5:58 PM,Paquito Patise,Shawnee,Employee,12,331
506,Typescript,15-10-2023,10:44 AM,5:55 PM,Gaylene Ecclestone,Ola,Intern,7,809
424,Web Scraping,17-08-2022,9:25 AM,5:39 PM,Francis Custed,Gretal,Intern,7,65
889,Data Warehouse,17-01-2023,9:11 AM,5:44 PM,Carmella Vest,Haskell,Intern,13,768
792,React JS,23-03-2024,10:38 AM,5:34 PM,Kurt Roseveare,Stanly,Intern,3,194
224,Analytics & Reporting,07-02-2023,10:23 AM,5:19 PM,Karlyn Hachard,Jourdan,Intern,11,752
299,ADF,10-11-2022,10:04 AM,5:00 PM,Dacie Gasken,Cassey,Employee,7,99
333,React JS,19-03-2023,9:36 AM,5:55 PM,Ashely Harlett,Cindie,Intern,9,516
605,DBT,01-11-2022,10:32 AM,5:04 PM,Lucy Phair,Jobye,Intern,8,814
474,Python,05-11-2023,9:56 AM,5:01 PM,Cosme Seebright,Kurt,Intern,8,154
898,Cloud Platforms,14-08-2022,10:29 AM,5:33 PM,Babs Guerola,Moyna,Intern,3,193
898,Data Warehouse,11-01-2023,9:45 AM,5:02 PM,Derk Carmont,Mattias,Employee,6,859
909,Data Warehouse,11-12-2022,10:18 AM,5:48 PM,Merle Piechnik,Eugenia,Employee,16,39
777,Cloud Platforms,31-05-2022,10:30 AM,5:32 PM,Arlie Youd,Cindie,Employee,14,273
627,UI/UX(Figma),22-02-2024,9:00 AM,5:06 PM,Benjie Mixture,Gertrudis,Intern,11,179
627,UI/UX(Figma),24-10-2022,9:01 AM,5:39 PM,Karlie Yabsley,Mildrid,Intern,15,563
827,ADF,13-10-2022,10:44 AM,5:13 PM,Horatius Fowles,Fidela,Intern,6,206
968,Power BI,22-06-2022,9:37 AM,5:46 PM,Stanislaus Murrhardt,Audrye,Intern,9,108
116,Git & Version Control,15-10-2023,10:27 AM,5:04 PM,Hester Goroni,Bax,Intern,6,533
898,UI/UX(Figma),09-05-2022,10:06 AM,5:27 PM,Philippa Hambric,Fletcher,Intern,4,802
200,HTML&CSS,02-08-2022,9:10 AM,5:04 PM,Octavia Bouchard,Haskell,Intern,15,255
777,Networking,24-10-2022,9:49 AM,5:31 PM,Tana Merrigan,Vevay,Intern,11,454
193,Power BI,28-07-2023,10:16 AM,5:19 PM,Stern Skevington,Filberto,Intern,4,463
224,HTML&CSS,10-10-2023,9:05 AM,5:16 PM,Valry Wolvey,Maryl,Intern,13,571
443,Python,02-09-2023,10:24 AM,5:57 PM,Teodor Waycott,Cassey,Employee,15,532
662,Cloud Platforms,31-10-2022,10:19 AM,5:49 PM,Gerardo Kittley,Marylou,Intern,16,857
797,Javascript,22-05-2022,10:58 AM,5:28 PM,Tomas Wickwar,Jaime,Employee,6,647
324,React JS,19-06-2022,10:59 AM,5:59 PM,Charmain Rhelton,Kyla,Employee,4,418
424,SQL,05-12-2023,9:07 AM,5:08 PM,Brunhilde Wedderburn,Radcliffe,Intern,9,648
171,UI/UX(Figma),26-05-2023,9:58 AM,5:12 PM,Keary Salle,Zared,Intern,17,699
827,QA,12-01-2024,9:07 AM,5:07 PM,Isabella Huriche,Toiboid,Employee,11,512
537,Javascript,14-09-2022,9:33 AM,5:46 PM,Inesita Matthiesen,Fletcher,Intern,17,141
497,ADF,07-07-2022,10:18 AM,5:45 PM,Nadya Martynikhin,Mathe,Intern,1,265
841,UI Path,29-09-2022,9:25 AM,5:31 PM,Colette Warrior,Haroun,Intern,16,267
997,Analytics & Reporting,25-02-2023,9:06 AM,5:52 PM,Dorey Rignall,Zach,Intern,16,775
260,QA,18-10-2023,9:43 AM,5:05 PM,Daryle Farahar,Paige,Intern,15,528
463,Python,10-08-2023,10:47 AM,5:03 PM,Ode Bagworth,Vincent,Intern,1,758
224,Web Scraping,20-06-2023,9:41 AM,5:50 PM,Fredra Lorentz,Kermie,Intern,16,787
232,ADF,19-10-2023,10:55 AM,5:12 PM,Hartwell Trinbey,Ilaire,Intern,15,204
474,Power BI,04-07-2022,10:34 AM,5:14 PM,Hailey Batistelli,Germain,Intern,2,607
